repo.url,repo.language
https://github.com/eclipse-platform/eclipse.platform,Java
https://github.com/ledgerwatch/erigon,Go
https://github.com/motdotla/dotenv,JavaScript
https://github.com/NervJS/taro,TypeScript
https://github.com/opf/openproject,Ruby
https://github.com/jest-community/eslint-plugin-jest,TypeScript
https://github.com/jellyfin/jellyfin,C#
https://github.com/desktop/desktop,TypeScript
https://github.com/square/okhttp,Kotlin
https://github.com/owncloud/core,PHP
https://github.com/JabRef/jabref,Java
https://github.com/GStreamer/gstreamer,C
https://github.com/moodle/moodle,PHP
https://github.com/vim/vim,Vim Script
https://github.com/python/typeshed,Python
https://github.com/aws/aws-sdk-ruby,Ruby
https://github.com/lerna/lerna,TypeScript
https://github.com/supabase/supabase,TypeScript
https://github.com/fonttools/fonttools,Python
https://github.com/sequelize/sequelize,TypeScript
https://github.com/meshery/meshery,JavaScript
https://github.com/mochajs/mocha,JavaScript
https://github.com/apache/shardingsphere,Java
https://github.com/eclipse-platform/eclipse.platform.ui,Java
https://github.com/markedjs/marked,JavaScript
https://github.com/Koenkk/zigbee-herdsman-converters,TypeScript
https://github.com/terser/terser,JavaScript
https://github.com/vuejs/vue,TypeScript
https://github.com/wordpress-mobile/WordPress-iOS,Swift
https://github.com/npm/node-semver,JavaScript
https://github.com/clap-rs/clap,Rust
https://github.com/apache/lucene,Java
https://github.com/jellyfin/jellyfin-web,JavaScript
https://github.com/vitest-dev/vitest,TypeScript
https://github.com/bcgit/bc-java,Java
https://github.com/prisma/prisma,TypeScript
https://github.com/scylladb/scylladb,C++
https://github.com/aosp-mirror/platform_frameworks_base,Java
https://github.com/GNOME/gtk,C
https://github.com/HypothesisWorks/hypothesis,Python
https://github.com/appsmithorg/appsmith,TypeScript
https://github.com/rails/rails,Ruby
https://github.com/openzfs/zfs,C
https://github.com/ethereumjs/ethereumjs-monorepo,TypeScript
https://github.com/telegramdesktop/tdesktop,C++
https://github.com/chaijs/chai,JavaScript
https://github.com/apache/doris,Java
https://github.com/reactor/reactor-core,Java
https://github.com/TanStack/query,TypeScript
https://github.com/aws/aws-sdk-go,Go
https://github.com/tldr-pages/tldr,Markdown
https://github.com/pimcore/pimcore,PHP
https://github.com/elixir-lang/elixir,Elixir
https://github.com/FRRouting/frr,C
https://github.com/CTSRD-CHERI/cheribsd,
https://github.com/v8/v8,C++
https://github.com/parcel-bundler/parcel,JavaScript
https://github.com/apache/solr,Java
https://github.com/caolan/async,JavaScript
https://github.com/nxp-imx/linux-imx,C
https://github.com/postcss/autoprefixer,JavaScript
https://github.com/facebook/flow,OCaml
https://github.com/misskey-dev/misskey,TypeScript
https://github.com/opnsense/core,PHP
https://github.com/python/typing_extensions,Python
https://github.com/sveltejs/svelte,JavaScript
https://github.com/apache/pulsar,Java
https://github.com/kubernetes/client-go,Go
https://github.com/yargs/yargs,JavaScript
https://github.com/cssnano/cssnano,CSS
https://github.com/webpack-contrib/css-loader,JavaScript
https://github.com/remy/nodemon,JavaScript
https://github.com/hashicorp/terraform,Go
https://github.com/snipe/snipe-it,PHP
https://github.com/Qiskit/qiskit,Python
https://github.com/acornjs/acorn,JavaScript
https://github.com/aosp-mirror/kernel_common,C
https://github.com/umijs/umi,TypeScript
https://github.com/colinhacks/zod,TypeScript
https://github.com/nodejs/node-gyp,Python
https://github.com/getredash/redash,Python
https://github.com/DataDog/documentation,JavaScript
https://github.com/hapijs/joi,JavaScript
https://github.com/pixijs/pixijs,TypeScript
https://github.com/Azure/azure-quickstart-templates,Bicep
https://github.com/angular/components,TypeScript
https://github.com/sched-ext/sched_ext,C
https://github.com/analogdevicesinc/linux,C
https://github.com/testcontainers/testcontainers-java,Java
https://github.com/open-telemetry/opentelemetry-collector-contrib,Go
https://github.com/ljharb/qs,JavaScript
https://github.com/Azure/azure-sdk-for-python,Python
https://github.com/styled-components/styled-components,TypeScript
https://github.com/ajv-validator/ajv,TypeScript
https://github.com/doctrine/dbal,PHP
https://github.com/kubernetes-sigs/kubespray,Jinja
https://github.com/transloadit/uppy,TypeScript
https://github.com/grpc/grpc-node,TypeScript
https://github.com/rustwasm/wasm-bindgen,Rust
https://github.com/obsproject/obs-studio,C
https://github.com/vueuse/vueuse,TypeScript
https://github.com/demisto/content,Python
https://github.com/langchain-ai/langchain,Python
https://github.com/nextcloud/android,Java
https://github.com/aptos-labs/aptos-core,Rust
https://github.com/ddnet/ddnet,C++
https://github.com/home-assistant/home-assistant.io,HTML
https://github.com/request/request,JavaScript
https://github.com/Perl/perl5,Perl
https://github.com/DataDog/datadog-agent,Go
https://github.com/sindresorhus/execa,JavaScript
https://github.com/tailwindlabs/tailwindcss,TypeScript
https://github.com/urfave/cli,Go
https://github.com/stylelint/stylelint,JavaScript
https://github.com/conventional-changelog/conventional-changelog,TypeScript
https://github.com/ansible/ansible,Python
https://github.com/csstools/postcss-plugins,CSS
https://github.com/jetty/jetty.project,Java
https://github.com/util-linux/util-linux,C
https://github.com/TheOdinProject/curriculum,JavaScript
https://github.com/Yoast/wordpress-seo,JavaScript
https://github.com/dotnet/efcore,C#
https://github.com/Azure/azure-sdk-for-js,TypeScript
https://github.com/swagger-api/swagger-ui,JavaScript
https://github.com/apache/logging-log4j2,Java
